TOPIK Level,분류,주제,단어,CEFR Level,KIIP Level
초급1,숫자,고유어 수,하나,A1,1급
초급1,숫자,고유어 수,둘,A1,1급
초급1,숫자,고유어 수,셋,A1,1급
초급1,숫자,고유어 수,넷,A1,1급
초급1,숫자,고유어 수,다섯,A1,1급
초급1,숫자,한자어 수,이,A1,1급
초급1,숫자,한자어 수,삼,A1,1급
초급1,숫자,한자어 수,사,A1,1급
초급1,숫자,한자어 수,오,A1,1급
초급1,숫자,가격 말하기,가격,A1,1급
초급1,숫자,가격 말하기,얼마,A1,1급
초급1,숫자,가격 말하기,원,A1,1급
초급1,숫자,가격 말하기,비싸다,A1,1급
초급1,숫자,가격 말하기,싸다,A1,1급
초급1,숫자,전화번호 말하기,전화번호,A1,1급
초급1,숫자,전화번호 말하기,번호,A1,1급
초급1,숫자,전화번호 말하기,전화,A1,1급
초급1,숫자,전화번호 말하기,핸드폰,A1,1급
초급1,숫자,전화번호 말하기,누르다,A1,1급
초급1,숫자,번호 묻기,몇,A1,1급
초급1,숫자,번호 묻기,번,A1,1급
초급1,숫자,번호 묻기,이거,A1,1급
초급1,숫자,번호 묻기,저거,A1,1급
초급1,날짜·요일,요일,월요일,A1,1급
초급1,날짜·요일,요일,화요일,A1,1급
초급1,날짜·요일,요일,수요일,A1,1급
초급1,날짜·요일,요일,목요일,A1,1급
초급1,날짜·요일,요일,금요일,A1,1급
초급1,날짜·요일,날짜,오늘,A1,1급
초급1,날짜·요일,날짜,어제,A1,1급
초급1,날짜·요일,날짜,내일,A1,1급
초급1,날짜·요일,날짜,날짜,A1,1급
초급1,날짜·요일,생일 말하기,생일,A1,1급
초급1,날짜·요일,생일 말하기,축하하다,A1,1급
초급1,날짜·요일,생일 말하기,태어나다,A1,1급
초급1,날짜·요일,생일 말하기,파티,A1,1급
초급1,날짜·요일,생일 말하기,선물,A1,1급
초급1,날짜·요일,시간 약속,약속,A1,1급
초급1,날짜·요일,시간 약속,시간,A1,1급
초급1,날짜·요일,시간 약속,늦다,A1,1급
초급1,날짜·요일,시간 약속,일찍,A1,1급
초급1,날짜·요일,일정 말하기,일정,A1,1급
초급1,날짜·요일,일정 말하기,계획,A1,1급
초급1,날짜·요일,일정 말하기,있다,A1,1급
초급1,날짜·요일,일정 말하기,없다,A1,1급
초급1,날짜·요일,일정 말하기,바쁘다,A1,1급
초급1,시간 말하기,시/분 말하기,시,A1,1급
초급1,시간 말하기,시/분 말하기,분,A1,1급
초급1,시간 말하기,시/분 말하기,지금,A1,1급
초급1,시간 말하기,몇 시예요?,몇 시예요,A1,1급
초급1,시간 말하기,몇 시예요?,아직,A1,1급
초급1,시간 말하기,몇 시예요?,벌써,A1,1급
초급1,시간 말하기,만나는 시간 말하기,정하다,A1,1급
초급1,시간 말하기,버스/기차 시간,버스,A1,1급
초급1,시간 말하기,버스/기차 시간,기차,A1,1급
초급1,시간 말하기,버스/기차 시간,출발,A1,1급
초급1,시간 말하기,버스/기차 시간,도착,A1,1급
초급1,시간 말하기,버스/기차 시간,시간표,A1,1급
초급1,시간 말하기,시간 묻고 답하기,언제,A1,1급
초급1,시간 말하기,시간 묻고 답하기,부터,A1,1급
초급1,시간 말하기,시간 묻고 답하기,까지,A1,1급
초급1,시간 말하기,시간 묻고 답하기,나중에,A1,1급
초급1,음식점 메뉴읽기,음식 이름,밥,A1,1급
초급1,음식점 메뉴읽기,음식 이름,국,A1,1급
초급1,음식점 메뉴읽기,음식 이름,김치,A1,1급
초급1,음식점 메뉴읽기,음식 이름,고기,A1,1급
초급1,음식점 메뉴읽기,음식 이름,물,A1,1급
초급1,음식점 메뉴읽기,메뉴 읽기,메뉴,A1,1급
초급1,음식점 메뉴읽기,메뉴 읽기,음식,A1,1급
초급1,음식점 메뉴읽기,메뉴 읽기,사진,A1,1급
초급1,음식점 메뉴읽기,메뉴 읽기,보다,A1,1급
초급1,음식점 메뉴읽기,메뉴 읽기,고르다,A1,1급
초급1,음식점 메뉴읽기,매운/안 매운,맵다,A1,1급
초급1,음식점 메뉴읽기,매운/안 매운,안 맵다,A1,1급
초급1,음식점 메뉴읽기,매운/안 매운,달다,A1,1급
초급1,음식점 메뉴읽기,매운/안 매운,짜다,A1,1급
초급1,음식점 메뉴읽기,매운/안 매운,맛,A1,1급
초급1,음식점 메뉴읽기,추천받기,추천하다,A1,1급
초급1,음식점 메뉴읽기,추천받기,인기,A1,1급
초급1,음식점 메뉴읽기,추천받기,많이,A1,1급
초급1,음식점 메뉴읽기,추천받기,맛있다,A1,1급
초급1,음식점 메뉴읽기,추천받기,좋다,A1,1급
초급1,음식점 메뉴읽기,맛 표현,맛없다,A1,1급
초급1,음식점 메뉴읽기,맛 표현,괜찮다,A1,1급
초급1,음식점 주문하기,~주세요,주세요,A1,1급
초급1,음식점 주문하기,~주세요,주다,A1,1급
초급1,음식점 주문하기,여기요,여기요,A1,1급
초급1,음식점 주문하기,여기요,사장님,A1,1급
초급1,음식점 주문하기,여기요,직원,A1,1급
초급1,음식점 주문하기,여기요,부르다,A1,1급
초급1,음식점 주문하기,여기요,기다리다,A1,1급
초급1,음식점 주문하기,계산하기,계산,A1,1급
초급1,음식점 주문하기,계산하기,돈,A1,1급
초급1,음식점 주문하기,계산하기,카드,A1,1급
초급1,음식점 주문하기,계산하기,현금,A1,1급
초급1,음식점 주문하기,포장하기,포장,A1,1급
초급1,음식점 주문하기,포장하기,가져가다,A1,1급
초급1,음식점 주문하기,포장하기,집,A1,1급
초급1,음식점 주문하기,포장하기,밖,A1,1급
초급1,음식점 주문하기,포장하기,먹다,A1,1급
초급1,음식점 주문하기,주문 롤플레이,주문하다,A1,1급
초급1,음식점 주문하기,주문 롤플레이,마시다,A1,1급
초급1,음식점 주문하기,주문 롤플레이,계산하다,A1,1급
초급1,장소 표현,여기/저기/거기,여기,A1,1급
초급1,장소 표현,여기/저기/거기,저기,A1,1급
초급1,장소 표현,여기/저기/거기,거기,A1,1급
초급1,장소 표현,여기/저기/거기,장소,A1,1급
초급1,장소 표현,~에 있어요,에,A1,1급
초급1,장소 표현,~에 있어요,건물,A1,1급
초급1,장소 표현,~에 있어요,안,A1,1급
초급1,장소 표현,근처,근처,A1,1급
초급1,장소 표현,근처,주변,A1,1급
초급1,장소 표현,근처,가깝다,A1,1급
초급1,장소 표현,근처,멀다,A1,1급
초급1,장소 표현,근처,옆,A1,1급
초급1,장소 표현,위치 묻기,위치,A1,1급
초급1,장소 표현,위치 묻기,찾다,A1,1급
초급1,장소 표현,장소 설명,학교,A1,1급
초급1,장소 표현,장소 설명,가게,A1,1급
초급1,장소 표현,장소 설명,병원,A1,1급
초급1,장소 표현,장소 설명,식당,A1,1급
초급1,길 찾기,왼쪽/오른쪽,왼쪽,A1,1급
초급1,길 찾기,왼쪽/오른쪽,오른쪽,A1,1급
초급1,길 찾기,왼쪽/오른쪽,앞,A1,1급
초급1,길 찾기,왼쪽/오른쪽,뒤,A1,1급
초급1,길 찾기,직진/돌아가다,직진,A1,1급
초급1,길 찾기,직진/돌아가다,돌아가다,A1,1급
초급1,길 찾기,직진/돌아가다,가다,A1,1급
초급1,길 찾기,직진/돌아가다,건너다,A1,1급
초급1,길 찾기,~까지,길,A1,1급
초급1,길 찾기,길 묻기 대화,어떻게,A1,1급
초급1,길 찾기,길 묻기 대화,물어보다,A1,1급
초급1,길 찾기,길 안내하기,돌다,A1,1급
초급1,길 찾기,길 안내하기,직진하다,A1,1급
초급1,기본 동사,가다,가요,A1,1급
초급1,기본 동사,가다,갑니다,A1,1급
초급1,기본 동사,가다,갈다,A1,1급
초급1,기본 동사,가다,갔다,A1,1급
초급1,기본 동사,오다,와요,A1,1급
초급1,기본 동사,오다,옵니다,A1,1급
초급1,기본 동사,오다,왔어요,A1,1급
초급1,기본 동사,오다,올다,A1,1급
초급1,기본 동사,먹다,먹어요,A1,1급
초급1,기본 동사,먹다,먹습니다,A1,1급
초급1,기본 동사,마시다,마셔요,A1,1급
초급1,기본 동사,마시다,마십니다,A1,1급
초급1,기본 동사,마시다,음료,A1,1급
초급1,기본 동사,보다,봐요,A1,1급
초급1,기본 동사,보다,봅니다,A1,1급
초급1,기본 동사,보다,영화,A1,1급
초급1,현재 시제,~아요/어요,해요,A1,1급
초급1,현재 시제,명사+이에요/예요,학생이에요,A1,1급
초급1,현재 시제,명사+이에요/예요,사람이에요,A1,1급
초급1,현재 시제,명사+이에요/예요,한국이에요,A1,1급
초급1,현재 시제,명사+이에요/예요,집이에요,A1,1급
초급1,현재 시제,명사+이에요/예요,아니에요,A1,1급
초급1,현재 시제,질문 만들기,뭐,A1,1급
초급1,현재 시제,질문 만들기,누구,A1,1급
초급1,현재 시제,질문 만들기,왜,A1,1급
초급1,현재 시제,짧은 대화 만들기,듣다,A1,1급
초급1,현재 시제,짧은 대화 만들기,대답하다,A1,1급
초급1,현재 시제,짧은 대화 만들기,묻다,A1,1급
초급1,현재 시제,말하기 연습,연습,A1,1급
초급1,현재 시제,말하기 연습,다시,A1,1급
초급1,현재 시제,말하기 연습,천천히,A1,1급
초급1,현재 시제,말하기 연습,잘,A1,1급
초급1,조사 기초,은/는,은,A1,1급
초급1,조사 기초,은/는,는,A1,1급
초급1,조사 기초,은/는,저는,A1,1급
초급1,조사 기초,은/는,이름은,A1,1급
초급1,조사 기초,은/는,사람은,A1,1급
초급1,조사 기초,이/가,가,A1,1급
초급1,조사 기초,이/가,누가,A1,1급
초급1,조사 기초,이/가,뭐가,A1,1급
초급1,조사 기초,이/가,어디가,A1,1급
초급1,조사 기초,을/를,을,A1,1급
초급1,조사 기초,을/를,를,A1,1급
초급1,조사 기초,을/를,밥을,A1,1급
초급1,조사 기초,을/를,물을,A1,1급
초급1,조사 기초,을/를,책을,A1,1급
초급1,조사 기초,어/어디/누구,어,A1,1급
초급1,조사 기초,어/어디/누구,무엇,A1,1급
초급1,조사 기초,단문회화 완성,맞아요,A1,1급
초급2,확장 인사,안부 묻기,잘 지내요,A2,2급
초급2,확장 인사,안부 묻기,어때요,A2,2급
초급2,확장 인사,안부 묻기,괜찮아요,A2,2급
초급2,확장 인사,안부 묻기,바빠요,A2,2급
초급2,확장 인사,안부 묻기,피곤해요,A2,2급
초급2,확장 인사,안부 응답,좀 바빠요,A2,2급
초급2,확장 인사,안부 응답,별로예요,A2,2급
초급2,확장 인사,안부 응답,좋아요,A2,2급
초급2,확장 인사,공손한 표현,부탁하다,A2,2급
초급2,확장 인사,공손한 표현,괜찮으세요,A2,2급
초급2,확장 인사,공손한 표현,잠깐,A2,2급
초급2,확장 인사,공손한 표현,미안해요,A2,2급
초급2,확장 인사,공손한 표현,고마워요,A2,2급
초급2,확장 인사,전화 인사,여보세요,A2,2급
초급2,확장 인사,전화 인사,말씀하세요,A2,2급
초급2,확장 인사,전화 인사,전화하다,A2,2급
초급2,확장 인사,헤어질 때 확장,조심히 가세요,A2,2급
초급2,확장 인사,헤어질 때 확장,다음에 연락해요,A2,2급
초급2,확장 인사,헤어질 때 확장,곧 봐요,A2,2급
초급2,확장 인사,헤어질 때 확장,또 연락할게요,A2,2급
초급2,확장 인사,헤어질 때 확장,안녕히 주무세요,A2,2급
초급2,자기소개 확장,거주지 말하기,동네,A2,2급
초급2,자기소개 확장,거주지 말하기,아파트,A2,2급
초급2,자기소개 확장,거주지 말하기,기숙사,A2,2급
초급2,자기소개 확장,가족 소개,가족,A2,2급
초급2,자기소개 확장,가족 소개,부모님,A2,2급
초급2,자기소개 확장,가족 소개,어머니,A2,2급
초급2,자기소개 확장,가족 소개,아버지,A2,2급
초급2,자기소개 확장,가족 소개,형제,A2,2급
초급2,자기소개 확장,취미 말하기,취미,A2,2급
초급2,자기소개 확장,취미 말하기,운동,A2,2급
초급2,자기소개 확장,취미 말하기,여행,A2,2급
초급2,자기소개 확장,취미 말하기,음악,A2,2급
초급2,자기소개 확장,관심사 말하기,관심,A2,2급
초급2,자기소개 확장,관심사 말하기,자주,A2,2급
초급2,자기소개 확장,관심사 말하기,가끔,A2,2급
초급2,자기소개 확장,관심사 말하기,요즘,A2,2급
초급2,자기소개 확장,자기소개 확장,이야기하다,A2,2급
초급2,자기소개 확장,자기소개 확장,설명하다,A2,2급
초급2,자기소개 확장,자기소개 확장,경험,A2,2급
초급2,자기소개 확장,자기소개 확장,이유,A2,2급
초급2,국적·언어 확장,거주 국가,이사하다,A2,2급
초급2,국적·언어 확장,거주 국가,지역,A2,2급
초급2,국적·언어 확장,언어 수준 말하기,잘하다,A2,2급
초급2,국적·언어 확장,언어 수준 말하기,조금,A2,2급
초급2,국적·언어 확장,언어 수준 말하기,못하다,A2,2급
초급2,국적·언어 확장,언어 수준 말하기,배우다,A2,2급
초급2,국적·언어 확장,언어 사용 상황,집에서,A2,2급
초급2,국적·언어 확장,언어 사용 상황,학교에서,A2,2급
초급2,국적·언어 확장,언어 사용 상황,회사에서,A2,2급
초급2,국적·언어 확장,언어 사용 상황,친구와,A2,2급
초급2,국적·언어 확장,언어 사용 상황,수업,A2,2급
초급2,국적·언어 확장,문화 차이,문화,A2,2급
초급2,국적·언어 확장,문화 차이,다르다,A2,2급
초급2,국적·언어 확장,문화 차이,같다,A2,2급
초급2,국적·언어 확장,문화 차이,생활,A2,2급
초급2,국적·언어 확장,문화 차이,습관,A2,2급
초급2,국적·언어 확장,국적 관련 질문,계속,A2,2급
초급2,숫자 확장,큰 수,십,A2,2급
초급2,숫자 확장,큰 수,백,A2,2급
초급2,숫자 확장,큰 수,천,A2,2급
초급2,숫자 확장,큰 수,만,A2,2급
초급2,숫자 확장,큰 수,정도,A2,2급
초급2,숫자 확장,금액 계산,총,A2,2급
초급2,숫자 확장,금액 계산,할인,A2,2급
초급2,숫자 확장,금액 계산,비용,A2,2급
초급2,숫자 확장,금액 계산,값,A2,2급
초급2,숫자 확장,수량 표현,개,A2,2급
초급2,숫자 확장,수량 표현,명,A2,2급
초급2,숫자 확장,수량 표현,병,A2,2급
초급2,숫자 확장,수량 표현,잔,A2,2급
초급2,숫자 확장,횟수 말하기,한 번,A2,2급
초급2,숫자 확장,횟수 말하기,두 번,A2,2급
초급2,숫자 확장,횟수 말하기,여러 번,A2,2급
초급2,숫자 확장,숫자 질문,얼마나,A2,2급
초급2,숫자 확장,숫자 질문,몇 개,A2,2급
초급2,숫자 확장,숫자 질문,몇 명,A2,2급
초급2,숫자 확장,숫자 질문,얼마나 자주,A2,2급
초급2,숫자 확장,숫자 질문,얼마 동안,A2,2급
초급2,날짜·요일 확장,주말·평일,주말,A2,2급
초급2,날짜·요일 확장,주말·평일,평일,A2,2급
초급2,날짜·요일 확장,주말·평일,쉬다,A2,2급
초급2,날짜·요일 확장,주말·평일,일하다,A2,2급
초급2,날짜·요일 확장,과거 날짜,지난주,A2,2급
초급2,날짜·요일 확장,과거 날짜,작년,A2,2급
초급2,날짜·요일 확장,과거 날짜,그제,A2,2급
초급2,날짜·요일 확장,과거 날짜,전에,A2,2급
초급2,날짜·요일 확장,미래 날짜,다음 주,A2,2급
초급2,날짜·요일 확장,미래 날짜,내년,A2,2급
초급2,날짜·요일 확장,미래 날짜,곧,A2,2급
초급2,날짜·요일 확장,미래 날짜,미리,A2,2급
초급2,날짜·요일 확장,기념일,기념일,A2,2급
초급2,날짜·요일 확장,기념일,명절,A2,2급
초급2,날짜·요일 확장,기념일,휴일,A2,2급
초급2,날짜·요일 확장,기념일,행사,A2,2급
초급2,날짜·요일 확장,일정 조정,변경하다,A2,2급
초급2,날짜·요일 확장,일정 조정,취소하다,A2,2급
초급2,날짜·요일 확장,일정 조정,미루다,A2,2급
초급2,날짜·요일 확장,일정 조정,가능하다,A2,2급
초급2,시간 확장,하루 일과,점심,A2,2급
초급2,시간 확장,하루 일과,밤,A2,2급
초급2,시간 확장,하루 일과,하루,A2,2급
초급2,시간 확장,소요 시간,걸리다,A2,2급
초급2,시간 확장,소요 시간,쯤,A2,2급
초급2,시간 확장,소요 시간,동안,A2,2급
초급2,시간 확장,빈도 표현,항상,A2,2급
초급2,시간 확장,빈도 표현,거의,A2,2급
초급2,시간 확장,빈도 표현,전혀,A2,2급
초급2,시간 확장,시간 약속 조정,맞추다,A2,2급
초급2,시간 확장,시간 관련 질문,몇 시쯤,A2,2급
초급2,음식 확장,음식 종류,한식,A2,2급
초급2,음식 확장,음식 종류,양식,A2,2급
초급2,음식 확장,음식 종류,중식,A2,2급
초급2,음식 확장,음식 종류,일식,A2,2급
초급2,음식 확장,음식 종류,분식,A2,2급
초급2,음식 확장,재료,채소,A2,2급
초급2,음식 확장,재료,쌀,A2,2급
초급2,음식 확장,재료,면,A2,2급
초급2,음식 확장,재료,계란,A2,2급
초급2,음식 확장,맛 상세 표현,달콤하다,A2,2급
초급2,음식 확장,맛 상세 표현,짭짤하다,A2,2급
초급2,음식 확장,맛 상세 표현,싱겁다,A2,2급
초급2,음식 확장,맛 상세 표현,고소하다,A2,2급
초급2,음식 확장,맛 상세 표현,매콤하다,A2,2급
초급2,음식 확장,식사 상황,혼자,A2,2급
초급2,음식 확장,식사 상황,밖에서,A2,2급
초급2,음식 확장,식사 상황,식사하다,A2,2급
초급2,음식 확장,음식 의견,싫어하다,A2,2급
초급2,음식 확장,음식 의견,별로,A2,2급
초급2,음식점 상황 확장,주문 변경,바꾸다,A2,2급
초급2,음식점 상황 확장,주문 변경,추가하다,A2,2급
초급2,음식점 상황 확장,주문 변경,빼다,A2,2급
초급2,음식점 상황 확장,주문 변경,더,A2,2급
초급2,음식점 상황 확장,주문 변경,덜,A2,2급
초급2,음식점 상황 확장,요청 표현,좀,A2,2급
초급2,음식점 상황 확장,요청 표현,빨리,A2,2급
초급2,음식점 상황 확장,불편 표현,틀리다,A2,2급
초급2,음식점 상황 확장,불편 표현,차갑다,A2,2급
초급2,음식점 상황 확장,불편 표현,뜨겁다,A2,2급
초급2,음식점 상황 확장,불편 표현,문제,A2,2급
초급2,음식점 상황 확장,결제 방식,계좌,A2,2급
초급2,음식점 상황 확장,결제 방식,결제,A2,2급
초급2,음식점 상황 확장,결제 방식,영수증,A2,2급
초급2,음식점 상황 확장,식사 후 표현,잘 먹었습니다,A2,2급
초급2,음식점 상황 확장,식사 후 표현,맛있었어요,A2,2급
초급2,음식점 상황 확장,식사 후 표현,다음에 올게요,A2,2급
초급2,장소 확장,공공장소,은행,A2,2급
초급2,장소 확장,공공장소,우체국,A2,2급
초급2,장소 확장,공공장소,도서관,A2,2급
초급2,장소 확장,공공장소,시청,A2,2급
초급2,장소 확장,상점,마트,A2,2급
초급2,장소 확장,상점,편의점,A2,2급
초급2,장소 확장,상점,시장,A2,2급
초급2,장소 확장,상점,백화점,A2,2급
초급2,장소 확장,건물 내부,층,A2,2급
초급2,장소 확장,건물 내부,엘리베이터,A2,2급
초급2,장소 확장,건물 내부,계단,A2,2급
초급2,장소 확장,건물 내부,입구,A2,2급
초급2,장소 확장,건물 내부,출구,A2,2급
초급2,장소 확장,위치 설명 확장,맞은편,A2,2급
초급2,장소 확장,위치 설명 확장,건너편,A2,2급
초급2,장소 확장,위치 설명 확장,사이,A2,2급
초급2,장소 확장,위치 설명 확장,안쪽,A2,2급
초급2,장소 확장,위치 설명 확장,바깥,A2,2급
초급2,장소 확장,장소 이용,이용하다,A2,2급
초급2,장소 확장,장소 이용,열다,A2,2급
초급2,장소 확장,장소 이용,닫다,A2,2급
초급2,장소 확장,장소 이용,사용하다,A2,2급
초급2,장소 확장,장소 이용,들어가다,A2,2급
초급2,길 찾기 확장,복합 길 안내,쭉,A2,2급
초급2,길 찾기 확장,복합 길 안내,지나가다,A2,2급
초급2,길 찾기 확장,복합 길 안내,따라가다,A2,2급
초급2,길 찾기 확장,거리 표현,금방,A2,2급
초급2,길 찾기 확장,교통 환승,갈아타다,A2,2급
초급2,길 찾기 확장,교통 환승,환승,A2,2급
초급2,길 찾기 확장,교통 환승,정류장,A2,2급
초급2,길 찾기 확장,교통 환승,노선,A2,2급
초급2,길 찾기 확장,교통 환승,방향,A2,2급
초급2,길 찾기 확장,길 확인,맞다,A2,2급
초급2,길 찾기 확장,길 확인,확인하다,A2,2급
초급2,길 찾기 확장,길 묻기 정중,실례합니다,A2,2급
초급2,길 찾기 확장,길 묻기 정중,혹시,A2,2급
초급2,길 찾기 확장,길 묻기 정중,여쭤보다,A2,2급
초급2,길 찾기 확장,길 묻기 정중,도와주세요,A2,2급
초급2,동사 확장,일상 동작,일어나다,A2,2급
초급2,동사 확장,일상 동작,자다,A2,2급
초급2,동사 확장,일상 동작,씻다,A2,2급
초급2,동사 확장,일상 동작,나가다,A2,2급
초급2,동사 확장,일상 동작,들어오다,A2,2급
초급2,동사 확장,학습·업무,연습하다,A2,2급
초급2,동사 확장,의사소통,연락하다,A2,2급
초급2,동사 확장,의사소통,이메일,A2,2급
초급2,동사 확장,의사소통,메시지,A2,2급
초급2,동사 확장,의사소통,답장,A2,2급
초급2,동사 확장,이동 확장,출발하다,A2,2급
초급2,동사 확장,이동 확장,도착하다,A2,2급
초급2,동사 확장,이동 확장,방문하다,A2,2급
초급2,동사 확장,이동 확장,여행하다,A2,2급
초급2,동사 확장,이동 확장,다니다,A2,2급
초급2,동사 확장,감정 동사,기쁘다,A2,2급
초급2,동사 확장,감정 동사,힘들다,A2,2급
초급2,동사 확장,감정 동사,재미있다,A2,2급
초급2,문법 확장,연결 표현,그리고,A2,2급
초급2,문법 확장,연결 표현,그래서,A2,2급
초급2,문법 확장,연결 표현,하지만,A2,2급
초급2,문법 확장,연결 표현,또,A2,2급
초급2,문법 확장,연결 표현,그런데,A2,2급
초급2,문법 확장,이유 말하기,왜냐하면,A2,2급
초급2,문법 확장,이유 말하기,때문에,A2,2급
초급2,문법 확장,희망·계획,하고 싶다,A2,2급
초급2,문법 확장,희망·계획,생각하다,A2,2급
초급2,문법 확장,희망·계획,예정,A2,2급
초급2,문법 확장,희망·계획,준비,A2,2급
초급2,문법 확장,경험 표현,해 보다,A2,2급
초급2,문법 확장,경험 표현,적이 있다,A2,2급
초급2,문법 확장,경험 표현,이미,A2,2급
초급2,문법 확장,문장 확장,아주,A2,2급
초급2,문법 확장,문장 확장,정말,A2,2급
초급2,문법 확장,문장 확장,너무,A2,2급
초급2,조사 확장,에/에서,학교에,A2,2급
초급2,조사 확장,에/에서,회사에,A2,2급
초급2,조사 확장,와/과,와,A2,2급
초급2,조사 확장,와/과,과,A2,2급
초급2,조사 확장,와/과,하고,A2,2급
초급2,조사 확장,와/과,함께,A2,2급
초급2,조사 확장,도/만,도,A2,2급
초급2,조사 확장,도/만,밖에,A2,2급
초급2,조사 확장,으로/로,으로,A2,2급
초급2,조사 확장,으로/로,로,A2,2급
초급2,조사 확장,으로/로,버스로,A2,2급
초급2,조사 확장,으로/로,집으로,A2,2급
초급2,조사 확장,으로/로,왼쪽으로,A2,2급
초급2,조사 확장,조사 종합,은/는,A2,2급
초급2,조사 확장,조사 종합,이/가,A2,2급
초급2,조사 확장,조사 종합,을/를,A2,2급
중급1,일상 확장,하루 일과 설명,일상,B1,3급
중급1,일상 확장,하루 일과 설명,보통,B1,3급
중급1,일상 확장,하루 일과 설명,아침마다,B1,3급
중급1,일상 확장,하루 일과 설명,퇴근하다,B1,3급
중급1,일상 확장,생활 변화,변하다,B1,3급
중급1,일상 확장,생활 변화,달라지다,B1,3급
중급1,일상 확장,생활 변화,예전,B1,3급
중급1,일상 확장,생활 변화,점점,B1,3급
중급1,일상 확장,생활 표현,환경,B1,3급
중급1,일상 확장,생활 표현,편하다,B1,3급
중급1,일상 확장,생활 표현,불편하다,B1,3급
중급1,일상 확장,생활 표현,적응하다,B1,3급
중급1,일상 확장,비교 표현,비슷하다,B1,3급
중급1,경험 말하기,~아/어 본 적 있다,해보다,B1,3급
중급1,경험 말하기,~아/어 본 적 있다,적,B1,3급
중급1,경험 말하기,~아/어 본 적 있다,마지막,B1,3급
중급1,경험 말하기,여행 경험,추억,B1,3급
중급1,경험 말하기,문화 경험,체험,B1,3급
중급1,경험 말하기,문화 경험,전통,B1,3급
중급1,경험 말하기,문화 경험,축제,B1,3급
중급1,경험 말하기,실수·문제 경험,실수,B1,3급
